
1000000		205138958927		Passed	

999999		205138533612		Passed	


	999998		205138046754		Passed	


	999997		205137651796		Passed	


	999996		205137385009		Passed	


	999995		205136779329		Passed	


	999994		205136451170		Passed	


	999993		205136083918		Passed	


	999992		205135622848		Passed	


	999991		205135178181		Passed	


	999990		205134907429		Passed	


	999989		205134316940		Passed	


	999988		205134018497		Passed	


	999987		205133608558		Passed	


	999986		205133130789		Passed	


	999985		205132744451		Passed	


	999984		205132458248		Passed	


	999983		205131842507		Passed	


	999982		205131530918		Passed	


	999981		205131164995		Passed	


	999980		205130704950		Passed	


	999979		205130250126		Passed	


	999978		205129973336		Passed	


	999977		205129398652		Passed	


	999976		205129100281		Passed	


	999975		205128695501		Passed	


	999974		205128200329		Passed	


	999973		205127805538		Passed	


	999972		205127539642		Passed	


	999971		205126927605		Passed	


	999970		205126618901		Passed	


	999969		205126233499		Passed	


	999968		205125769756		Passed	


	999967		205125329887		Passed	


	999966		205125050828		Passed	


	999965		205124486406		Passed	


	999964		205124173587		Passed	


	999963		205123760726		Passed	


	999962		205123280512		Passed	


	999961		205122885560		Passed	


	999960		205122629135		Passed	


	999959		205121994403		Passed	


	999958		205121682840		Passed	


	999957		205121318579		Passed	


	999956		205120847692		Passed	


	999955		205120418471		Passed	


	999954		205120122356		Passed	


	999953		205119550237		Passed	


	999952		205119253121		Passed	


	999951		205118841186		Passed	


	197723		8019726211		Passed	


	897596		165275999111		Passed	


	812037		135269439881		Passed	


	204741		8599166621		Passed	


	422750		36661860081		Passed	


	106756		2337918534		Passed	


	776557		123707067831		Passed	


	129191		3423796382		Passed	


	445299		40677198105		Passed	


	357328		26192773675		Passed	


	589993		71407089378		Passed	


	558854		64068453059		Passed	


	594306		72454985382		Passed	


	580633		69159370242		Passed	


	354348		25757745388		Passed	


	75203		1160138873		Passed	


	67792		942756569		Passed	


	50673		526737856		Passed	


	41137		347137002		Passed	


	30109		185961654		Passed	


	31682		205900019		Passed	


	44918		413882285		Passed	


	28923		171601501		Passed	


	86636		1539712515		Passed	


	41665		356105872		Passed	


	57464		677378695		Passed	


	66010		893843615		Passed	


	91874		1731520424		Passed	


	81741		1370641665		Passed	


	41418		351900395		Passed	


	9867		19969999		Passed	


	9228		17467833		Passed	


	3178		2071156		Passed	


	1029		217036		Passed	


	1748		626389		Passed	


	1295		343637		Passed	


	4325		3835994		Passed	


	6494		8649395		Passed	


	8059		13321089		Passed	


	5926		7202686		Passed	


	840		144682		Passed	


	888		161672		Passed	


	344		24202		Passed	


	979		196353		Passed	


	584		69829		Passed	


	727		108226		Passed	


	219		9800		Passed	


	290		17184		Passed	


	302		18639		Passed	


	487		48528		Passed	
